Sentence,Intent
Will you help me?,AboutVani
What else can you do?,AboutVani
What do you do?,AboutVani
på fédéral,AboutVani
What can you do?,AboutVani
What are you good at?,AboutVani
How can you help me,AboutVani
Can you help me?,AboutVani
How can you assist?,AboutVani
How can you help me?,AboutVani
How do you help?,AboutVani
How to help you?,AboutVani
How will you assist me?,AboutVani
Can you tell some info,AboutVani
Hows life?,AboutVani
How was your day?,AboutVani
How you doin?,AboutVani
Whats up?,AboutVani
What's happening?,AboutVani
Kya chal raha?,AboutVani
Wassup?,AboutVani
How you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
Will you help me?,AboutVani
What else can you do?,AboutVani
What do you do?,AboutVani
What can you help me with?,AboutVani
What can you do?,AboutVani
What are you good at?,AboutVani
How can you help me,AboutVani
Can you help me?,AboutVani
How can you assist?,AboutVani
How can you help me?,AboutVani
How do you help?,AboutVani
How to help you?,AboutVani
How will you assist me?,AboutVani
Can you tell some info,AboutVani
Hows life?,AboutVani
How was your day?,AboutVani
How you doin?,AboutVani
Whats up?,AboutVani
What's happening?,AboutVani
Kya chal raha?,AboutVani
Wassup?,AboutVani
How you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
what year we are,YearQuery
what is the date,DateQuery
the date is ?,DateQuery
what date it is,DateQuery
today's date is,DateQuery
please tell me the date,DateQuery
do u know what is the date,DateQuery
what date it,DateQuery
it is what date,DateQuery
i need help,commonQ.assist
Help me please,commonQ.assist
How can you help me,AboutVani
Can you help me?,AboutVani
How can you assist?,AboutVani
How can you help me?,AboutVani
How do you help?,AboutVani
How to help you?,AboutVani
How will you assist me?,AboutVani
Hows life?,AboutVani
How was your day?,AboutVani
How you doin?,AboutVani
Whats up?,AboutVani
What's happening?,AboutVani
Kya chal raha?,AboutVani
Wassup?,AboutVani
How you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
How can you help me,AboutVani
Can you help me?,AboutVani
How can you assist?,AboutVani
How can you help me?,AboutVani
How do you help?,AboutVani
How to help you?,AboutVani
How will you assist me?,AboutVani
Hows life?,AboutVani
How was your day?,AboutVani
How you doin?,AboutVani
Whats up?,AboutVani
What's happening?,AboutVani
Kya chal raha?,AboutVani
Wassup?,AboutVani
How you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
How can you help me,AboutVani
Can you help me?,AboutVani
How can you assist?,AboutVani
How can you help me?,AboutVani
How do you help?,AboutVani
How to help you?,AboutVani
How will you assist me?,AboutVani
Hows life?,AboutVani
How was your day?,AboutVani
How you doin?,AboutVani
Whats up?,AboutVani
What's happening?,AboutVani
Kya chal raha?,AboutVani
Wassup?,AboutVani
How you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
How can you help me,AboutVani
Can you help me?,AboutVani
How can you assist?,AboutVani
How can you help me?,AboutVani
How do you help?,AboutVani
How to help you?,AboutVani
How will you assist me?,AboutVani
Hows life?,AboutVani
How was your day?,AboutVani
How you doin?,AboutVani
Whats up?,AboutVani
What's happening?,AboutVani
Kya chal raha?,AboutVani
Wassup?,AboutVani
How you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
How can you help me,AboutVani
Can you help me?,AboutVani
How can you assist?,AboutVani
How can you help me?,AboutVani
How do you help?,AboutVani
How to help you?,AboutVani
How will you assist me?,AboutVani
Hows life?,AboutVani
How was your day?,AboutVani
How you doin?,AboutVani
Whats up?,AboutVani
What's happening?,AboutVani
Kya chal raha?,AboutVani
Wassup?,AboutVani
How you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
How can you help me,AboutVani
Can you help me?,AboutVani
How can you assist?,AboutVani
How can you help me?,AboutVani
How do you help?,AboutVani
How to help you?,AboutVani
How will you assist me?,AboutVani
Hows life?,AboutVani
How was your day?,AboutVani
How you doin?,AboutVani
Whats up?,AboutVani
What's happening?,AboutVani
Kya chal raha?,AboutVani
Wassup?,AboutVani
How you doing?,AboutVani
Are you fine?,AboutVani
Are you good?,AboutVani
How are you?,AboutVani
How are you doing?,AboutVani
Tell me the time,TimeQuery
Time please,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
can u tell me the time,TimeQuery
can you tell me the time,TimeQuery
Tell me the date,DateQuery
Date please,DateQuery
what date is this,DateQuery
wht date it it,DateQuery
what is the today's date,DateQuery
can u tell me the date,DateQuery
can you tell me the date,DateQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
tell me the date ,DateQuery
do yiu know the time,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
do you know the date,DateQuery
get me the time plz,TimeQuery
Do you know what time it is now?,TimeQuery
Do you know what date it is now?,DateQuery
What time does it is,TimeQuery
