Sentence_Type,Class_Type,,,
when when do i have to book this by,question,,,
"
otherwise there's um more through Bangkok",statement,,,
what time would you like to depart from Birmingham New Street,question,,,
and they've changed some of the ticket names,statement,,,
do you hold a current railcard,question,,,
there are later flights,statement,,,
"if you'd just like to hold the line a moment please",statement,,,
"
and it's a full refund less 5 pounds if you have to cancel",statement,,,
"
let me take a look and see what we've got",command,,,
"
the cheapest fare for the dates and times specified is going to be your Super Advance Return at 30 pounds each",statement,,,
"
on what date",question,,,
"
that's Hertz",statement,,,
"
the ideal would be from uh San Jose to uh Long Beach",statement,,,
"
and what date is it you're departing",question,,,
"
the 8th of October",statement,,,
"
you are A right",statement,,,
"
and how much is that one",question,,,
"
but the ticket would need to be issued today",statement,,,
"
 let me think",command,,,
"
so the only seats are left are in smoking",statement,,,
"
i have to forfeit the rest of it",statement,,,
"
and the postcode to where the credit card is registered to",statement,,,
"
these will be ready",statement,,,
"
i'm just looking at this fare we got back",statement,,,
"
the lowest available would be 600 and 60 dollars round trip",statement,,,
"
i can give you a home phone number as well if you want",statement,,,
"
the time is right",statement,,,
"
could you pull up a reservation for me please",question,,,
"
i i'm sorry",statement,,,
"
i have to work a little bit backwards here",statement,,,
"
would you please",question,,,
"
and confirm that address for me please",command,,,
"
it leaves at 9:40 out of Boston",statement,,,
"
and  the Saver Single is 45 pounds 50",statement,,,
"
so it's Northwest or American",statement,,,
"
there's a train from Preston at 16:31",statement,,,
"
i'm just selecting that service for you",statement,,,
"
he said either l... late on the 23rd or or any time on the 24th",statement,,,
"
the latest the earli... i could leave Saturday night",statement,,,
"
is that Super  that Super Advance",question,,,
"
can you do can is there availability on that  one",question,,,
"
if you miss any train",statement,,,
"
i've got one now",statement,,,
"
and they were confirmed at a fare of 1 98",statement,,,
"
i assume it's the same as the other one  in terms of price",statement,,,
"
wait",command,,,
"
the Super Advance is fully booked up",statement,,,
"
i i'm with WWW",statement,,,
"
so i should get it tomorrow",statement,,,
"
 the only",statement,,,
"
so you'd be flying 6 extra hours",statement,,,
"
again that's operated by American Eagle",statement,,,
"
but middle seats are usually the last last seats to be assigned",statement,,,
"
the only train that i can get availability on is the 16:34  from Euston",statement,,,
let me get you on a on a one-stop here,command,,,
